Email_ID,Sender_Domain_Reputation,Email_Subject_Type,URL_Legitimacy_Score,Attachment_Type,Email_Presentation,User_ID,Stress_Level,Curiosity_Index,Urgency_Trigger,Prior_Training,Email_Opened,Link_Clicked,Attachment_Downloaded,Reported_Phishing,Time_to_React
1,0.3745401188473625,Curiosity,0.519081785136218,none,Poorly_Formed,145,0.757776560375158,0.2650472874092833,1,0,0,1,0,0,
2,0.9507143064099162,Fear,0.47918187762973097,none,Well_Formed,28,0.28191835559725165,0.6720595026617354,0,1,0,0,0,1,
3,0.7319939418114051,Reward,0.025642065806435688,.pdf,Well_Formed,169,0.3180396116945199,0.052023755029446894,1,0,0,0,0,0,
4,0.5986584841970366,Fear,0.34124782762615635,none,Poorly_Formed,194,0.9246417911286366,0.11364603869671941,0,1,0,0,0,0,
5,0.15601864044243652,Fear,0.38019561878585706,.zip,Well_Formed,25,0.056224294850972245,0.003918374951093262,0,0,0,0,0,0,
6,0.15599452033620265,Curiosity,0.3988227808969005,.zip,Well_Formed,58,0.4856342984133404,0.9994606810596731,1,1,1,1,1,1,226.0
7,0.05808361216819946,Fear,0.5801723692273323,none,Well_Formed,41,0.9128008004078617,0.8022736971474778,0,0,1,0,0,0,171.0
8,0.8661761457749352,Curiosity,0.5336025467268785,.pdf,Poorly_Formed,134,0.610363007818157,0.7867230147335408,0,0,1,0,1,0,164.0
9,0.6011150117432088,Urgency,0.6079050927934446,none,Well_Formed,75,0.5464070742121321,0.5097260752881797,0,0,0,0,0,0,
10,0.7080725777960455,Urgency,0.7648832615421283,none,Poorly_Formed,38,0.2497441792293552,0.30006708290543993,0,1,0,0,0,1,
11,0.020584494295802447,Curiosity,0.8129857387160935,.zip,Poorly_Formed,134,0.34327548906444827,0.15126428446267592,0,1,0,0,0,1,
12,0.9699098521619943,Urgency,0.7181230762264944,none,Poorly_Formed,173,0.8520484158046929,0.28467473884646366,1,0,0,0,0,0,
13,0.8324426408004217,Reward,0.9555236959549347,.pdf,Well_Formed,75,0.5592181317684581,0.3759712219291391,0,1,0,0,0,0,
14,0.21233911067827616,Fear,0.01823258267636163,.pdf,Well_Formed,142,0.5147421937567799,0.756310096980294,0,1,1,0,1,0,59.0
15,0.18182496720710062,Reward,0.1957779856835461,.pdf,Well_Formed,66,0.09957971354002892,0.5396617889031524,1,1,0,0,0,1,
16,0.18340450985343382,Fear,0.00756287497814212,none,Well_Formed,168,0.01602815645512312,0.07748362655548269,0,0,0,0,0,0,
17,0.3042422429595377,Urgency,0.647474714154603,.zip,Poorly_Formed,3,0.9636851886870491,0.01802900895891224,0,1,0,0,0,0,
18,0.5247564316322378,Reward,0.8980305489499869,.pdf,Poorly_Formed,117,0.37698616728684164,0.10233217953406315,1,0,0,0,0,0,
19,0.43194501864211576,Urgency,0.24348229657629927,.pdf,Poorly_Formed,99,0.6032130620995043,0.41049871369737934,1,0,0,0,0,0,
20,0.2912291401980419,Fear,0.9270345447963066,none,Poorly_Formed,152,0.07971507318728499,0.9331929170490183,1,1,0,0,0,1,
21,0.6118528947223795,Curiosity,0.06026739028956085,.pdf,Poorly_Formed,19,0.6831142857230466,0.6374024812092216,1,1,1,0,0,0,178.0
22,0.13949386065204183,Curiosity,0.9344360268055143,.zip,Poorly_Formed,146,0.9325667087059609,0.8018258998755151,0,0,1,0,1,0,101.0
23,0.29214464853521815,Reward,0.3516226872396344,.zip,Poorly_Formed,192,0.5756652529974197,0.46637459450454855,1,0,0,1,0,0,
24,0.3663618432936917,Urgency,0.10142082844921652,.pdf,Poorly_Formed,116,0.12611532237541057,0.3616660831950428,0,1,0,0,0,1,
25,0.45606998421703593,Urgency,0.48587175918632564,none,Poorly_Formed,125,0.5817215274734767,0.10840037271662273,1,1,0,0,0,0,
26,0.7851759613930136,Reward,0.25677656772050794,.zip,Poorly_Formed,88,0.7663472131046524,0.875933022186205,0,0,1,0,1,0,246.0
27,0.19967378215835974,Curiosity,0.28487290196192283,.zip,Well_Formed,35,0.40641653657401866,0.7831600290279028,1,1,0,0,1,1,
28,0.5142344384136116,Fear,0.3072899649262866,none,Well_Formed,190,0.8798377479414679,0.1681180975977251,1,0,0,1,0,0,
29,0.5924145688620425,Reward,0.8030258978326634,.zip,Well_Formed,1,0.6486829533573645,0.5122605638762605,1,0,0,0,0,0,
